annual_income,credit_limit,balance,missed_payments,arrears_flag,affordability_score,default_flag,loss_given_default,exposure
43960.56983613479,3023.377638631326,1410.3414054320942,0,0,0.4096568526230442,0,0.4436954453379407,1488.7809461110003
36340.82838594578,2084.0619394096375,529.5400802747313,0,0,0.8131395940672297,0,0.42268296808682004,499.6612487189322
45772.26245720831,2848.8653802772637,1226.8197020040036,0,0,0.7226179076856445,0,0.44873005940583577,1212.327791939111
56276.3582768963,1841.3080138084952,174.65189147958588,1,0,0.9561332512288869,0,0.3276248069938024,175.72981035377788
35190.15950331997,7264.3708087841205,737.7996932632027,1,0,0.5719579318784725,0,0.24334295015304075,765.1635503214749
35190.356516609834,3478.9016473784664,1159.054653350465,0,0,0.24174930389790605,1,0.42644711772758004,1156.142661188489
56950.5537860887,2339.594787307755,1005.1289490635255,0,0,0.7603382939381058,0,0.4494969858054702,1044.2351525363736
47209.2167498349,3863.0588076194967,1764.3493504245112,0,0,0.40392860397500635,0,0.44349921133136644,1875.1639832036851
32366.307368780574,2904.0212510487167,776.6451053843573,0,0,0.45908364276606384,0,0.42211929154315836,809.739644507515
44510.720523031574,6083.144403599945,2009.480100453208,1,0,0.3573186030134144,0,0.40762852343993333,1928.9010369435293
32438.987686250453,7784.149339141208,1085.6116539880138,0,0,0.4471483196404175,0,0.32082478247540525,1171.219981945718
32411.242957156916,3785.252425232351,1485.9729043420655,0,0,0.8635843804907877,0,0.3695118625466761,1501.002461901454
40903.54725879241,6957.750499791803,1191.4882989924106,0,0,0.661370644008695,0,0.2996178640877646,1183.2371990962813
15040.637064106424,4743.973051697147,2407.511711986529,0,0,0.287322994617898,0,0.4857298864600541,2443.6470210713132
17300.986009843607,1679.267488206751,602.3086511616408,1,0,0.669282938713252,0,0.3844296759793114,600.2873033554916
31252.54964910833,5679.670565610062,2861.638466259228,0,0,0.7068506844430378,0,0.5348062561224549,3007.64496485838
25846.026555986915,4350.75872844365,1030.0657011547432,0,0,0.9078589530342955,0,0.34480372436621376,1013.7214377448869
41770.96799114328,5379.548924390776,2050.6515739526503,1,0,0.8877163548780984,0,0.3829740303557338,2164.144122181018
27103.71109374547,7172.6555942874875,1836.350809421634,0,0,0.2503000929918302,1,0.3205588941781667,1931.8980653612414
21052.355583976503,3803.2592799203458,820.1478765532783,0,0,0.8933584759811173,0,0.3417057172907082,783.5480258187217
55587.785227058645,7258.832174130167,2230.5234007940994,0,0,0.2407077872074969,0,0.4223304086359468,2050.27093727581
35290.68439416157,6130.0176071124115,1218.6500894973417,1,0,0.32329758737011405,0,0.301882552942656,1304.1890931883404
38810.338456255085,4164.536944084886,2281.4322830077936,0,0,0.28924000166074015,0,0.45470502416059155,2130.3648689747356
20903.02176543852,5024.166017434728,1820.2516624274103,0,0,0.34535779249781373,0,0.3899888890476453,1649.5785100848836
31467.40730569781,2941.858493892586,912.0067243692848,0,0,0.842609595388552,0,0.386807754459387,894.1909457588431
39331.07107651839,7876.979748040806,3027.5116844135414,0,0,0.7488954757227517,0,0.38067438183216773,2878.6485890124272
24188.077070932366,5505.13372287797,1616.5377552315686,1,0,0.7495699498626585,0,0.38698920930626846,1526.1284235434844
42508.376220148064,828.8513937247242,284.07240623446756,0,0,0.9377020949431758,0,0.4664844801313027,265.4550729391155
30792.33572097434,2949.6642931100655,1412.9751354941147,1,0,0.513480825951975,0,0.4650151097918449,1483.3968454656654
34499.67500248068,5174.858253192931,1767.2617783281707,0,0,0.20262995448977084,0,0.3873591234125694,1867.4382060271298
30779.520653247237,922.4995834942986,314.3578237308847,1,0,0.7118147616551802,0,0.44807718639378896,285.83862707064986
60227.33821410725,679.1314348935707,375.25138994300886,1,0,0.8944595091405192,0,0.452572423627679,378.76462507317694
37838.033303144795,3875.1817964585193,608.7227324471752,0,0,0.9810081444488359,0,0.3419122154523846,564.3036802276083
25307.468852529193,2995.176347695025,785.4281419848517,0,0,0.4911141842527763,0,0.3690762587436487,785.3581017916314
47870.538945238266,3787.239560248744,1125.2499414486501,0,0,0.8577217507544759,0,0.4514031737092037,1091.0265466773433
23349.87620034773,2470.1998241000388,1583.2364991193197,0,0,0.8793821714709285,0,0.5885847755012049,1488.8174020171293
40506.36314005707,1735.383102072357,617.1579222191309,0,0,0.3155502728697941,0,0.3318045664756227,672.4626412006768
14483.958513442692,5668.575177352533,1648.8127617220803,2,1,0.7051988442045323,0,0.48926510472483575,1799.4305467518595
22061.767413218833,4359.283372008504,695.65821863471,0,0,0.33851207931269545,0,0.26343904917511723,704.5585423828007
40362.334830429485,2001.1565843702513,507.425481289693,0,0,0.557304654522955,0,0.40973097618383186,475.7672120340998
46861.598959944924,2896.9206969499874,1410.739050127794,0,0,0.9034135353645449,0,0.4310261165277581,1434.2323539525821
40056.41937427965,4938.559307474944,1031.9780735972731,1,0,0.831573689725982,0,0.37551356418064424,1120.418443159836
36612.220611341116,1041.7201120435839,434.7229618530689,0,0,0.6562715656253975,0,0.48385028413462844,424.09492270428973
